corps_id/id;id;code;name
0300;030000;30000;Membres de la Chambre des Représentants
0301;030100;30100;Conseillers
0301;030101;30101;Attachés administratifs
0301;030102;30102;Attachés administratifs-adjoints
0301;030103;30103;Secrétaires
0301;030104;30104;Agents
0301;030105;30105;Agents spécialisés
0302;030200;30200;Membres de la chambres des conseillers
0400;040000;40000;Membres de gouvernement
0401;040101;40101;Regroupement des grades du premier Ministère
0500;050000;50000;Président de la cour des comptes
0500;050001;50001;Magistrats
0601;060101;60101;Commissaires judiciaires divisionnaires
0601;060102;60102;Commissaires judiciaires
0601;060103;60103;Rédacteurs judiciaires
0601;060104;60104;Secrétaires greffiers
0601;060105;60105;Agents de bureau
0601;060106;60106;Huissiers
0602;060200;60200;Regroupement de grades des magistrats
0603;060301;60301;Contrôleur général (*)
0603;060302;60302;Directeur hors classe
0603;060303;60303;Personnel de direction
0603;060304;60304;Surveillants chefs
0603;060305;60305;Surveillants éducateurs
0603;060306;60306;Surveillants
0604;060401;60401;Commissaire Judiciaire
0604;060402;60402;Rédacteur Judiciaire
0604;060403;60403;Secrétaire Greffier
0700;070001;70001;Emploi supérieur d'ambassadeur
0700;070002;70002;Conseillers des affaires étrangères
0700;070003;70003;Conseillers économiques
0700;070004;70004;Secrétaires des affaires étrangères
0700;070005;70005;Attachés des affaires étrangères
0700;070006;70006;Chanceliers
0700;070007;70007;Agents locaux
0700;070008;70008;Cadre des Ministres plénipotentiaires
0700;070009;70009;Conseillers des affaires étrangères
0700;070010;70010;Secrétaires des affaires étrangères
0700;070011;70011;Attachés des affaires étrangères
0700;070012;70012;Chanceliers
0800;080001;80001;Déssinateurs
0800;080002;80002;Conducteurs de travaux
0801;080101;80101;Gouverneurs ou Wali (Fonction) (*)
0801;080102;80102;Emploi d'administrateur principal
0801;080103;80103;Administrateurs
0801;080104;80104;Administrateurs adjoints
0801;080105;80105;Auxiliaire d'autorité
0802;080201;80201;Emplois supérieurs d'inspecteurs et d'inspecteurs en chef
0802;080202;80202;Officiers des sapeurs pompiers
0802;080203;80203;Sous-officier des sapeurs pompiers
0802;080204;80204;Sapeurs pompiers
0802;080205;80205;Animateurs en affaires sociales des sapeurs pompiers
0803;080301;80301;Contrôleurs divisionnaires des prix
0803;080302;80302;Contrôleurs des prix
0803;080303;80303;Contrôleurs adjoints des prix
0804;080401;80401;Mohtassebs
0805;080501;80501;Inspecteurs divisionnaires des transmissions
0805;080502;80502;Inspecteurs des transmissions
0805;080503;80503;Inspecteurs adjoints des transmissions
0805;080504;80504;Contrôleurs des transmissions
0805;080505;80505;Agents de transmissions
0806;080601;80601;Inspecteurs principaux
0806;080602;80602;Inspecteurs
0806;080603;80603;Moussaidines
0807;080701;80701;Mokhazeni
0807;080702;80702;Brigadier
0807;080703;80703;Brigadier chef
0808;080801;80801;Emploi supérieur de préfet de police
0808;080802;80802;Contrôleur général
0808;080803;80803;Commissaires
0808;080804;80804;Commandants des gardiens de la paix
0808;080805;80805;Officiers de police
0808;080806;80806;Officiers de paix
0808;080807;80807;Auxiliaires de police
0808;080808;80808;Assistantes de police
0808;080809;80809;Inspecteur de police
0808;080810;80810;Gardiens de la paix
0809;080901;80901;Khalifas
0810;081001;81001;Inspecteur de l'administration territoriale
0811;081101;81101;Cadre des agents de secours
0811;081102;81102;Sous officiers de la protection civile
0811;081103;81103;Officiers subalternes de la protection civile
0811;081104;81104;Officiers supérieurs de la protection civile
0811;081105;81105;Animateurs en affaires sociales de la protection civile
0812;081201;81201;Cadre des directeurs de centres régionaux d'investissements
0813;081301;81301;Gardiens de la paix
0813;081302;81302;Officiers de paix
0813;081303;81303;Inspecteurs de police
0813;081304;81304;Officiers de police
0813;081305;81305;Commandants de gardien de la paix
0813;081306;81306;Commissaires de police
0813;081307;81307;Controleur géneral
0813;081308;81308;Prefet de police
0814;081401;81401;Gouverneurs
0814;081402;81402;Pachas
0814;081403;81403;Caïds
0814;081404;81404;Khalifas de Caïd
0815;081501;81501;GESTION ET ADMINISTRATION (N.S)
0815;081502;81502;COMMISSAIRES DE POLICE (N.S)
0815;081503;81503;OFFICIERS DE POLICE (N.S)
0815;081504;81504;INSPECTEURS DE POLICE (N.S)
0815;081505;81505;COMMANDEMENT (N.S)
0815;081506;81506;ENCADREMENT (N.S)
0815;081507;81507;OFFICIERS DE PAIX (N.S)
0815;081508;81508;GARDIENS DE LA PAIX (N.S)
0900;090001;90001;Rédacteur en chef principal
0900;090002;90002;Rédacteur en chef
0900;090003;90003;Chef de rubrique
0901;090100;90100;Cadre des opérateurs
0901;090101;90101;Rédacteur
0901;090102;90102;Réalisateur
0901;090103;90103;Instrumentiste
0901;090104;90104;Comédien et speaker
0901;090105;90105;Agent téchnique
0902;090201;90201;Journalistes
0902;090202;90202;Réalisateurs
0902;090203;90203;Instrumentistes
0902;090204;90204;Comédiens et speakers
0902;090205;90205;agents techniques
0903;090301;90301;REDACTEUR EN CHEF
0903;090302;90302;CHEF DE RUBRIQUE
0904;090401;90401;Rédacteurs
0904;090402;90402;Rédacteur en chef
0905;090501;90501;instrumentistes
0905;090502;90502;solistes
0905;090503;90503;présentateurs
0905;090504;90504;animateurs
0905;090505;90505;comédiens
0905;090506;90506;acteurs
0906;090601;90601;Assistants de production
0906;090602;90602;Producteurs
0906;090603;90603;Assistants opérateurs
0906;090604;90604;Opérateurs
0906;090605;90605;Chefs opérateurs
0906;090606;90606;réalisateurs
1000;100001;100001;Professeurs de l'enseignement supérieur
1000;100002;100002;Maître de conférences
1000;100003;100003;Maîtres assistants
1000;100004;100004;Assistants
1001;100101;100101;Professeur de médecine, de pharmacie ou de médecine dentaire
1001;100102;100102;Professeur agrégé de médecine, de pharmacie ou de médecine dentaire
1001;100103;100103;Maître assistant de médecine, de pharmacie ou de médecine dentaire
1002;100201;100201;Professeur de l'Enseignement Supérieur
1002;100202;100202;Professeur Habilité
1002;100203;100203;Professeur Assistant
1003;100301;100301;Pofesseur de l'enseignement superieur
1003;100302;100302;Professeurs Agrégés
1003;100303;100303;Professeur Assistants
1101;110101;110101;Inspecteurs principaux
1101;110102;110102;Inpecteurs de l'enseignement secondaire
1101;110103;110103;Inspecteur adjoint de l'enseignement du 1er degré
1101;110104;110104;Inspecteurs de l'enseignement primaire
1102;110201;110201;Professeurs du second cycle de l'enseignement secondaire
1102;110202;110202;Professeurs du 1er cycle de l'enseignement secondaire
1102;110203;110203;Instituteurs
1102;110204;110204;Regroupement de grades de conseiller et de moniteur
1103;110301;110301;Inspecteurs des services économiques
1103;110302;110302;Intendants
1103;110303;110303;Economes
1103;110304;110304;Adjoint des services économiques
1103;110305;110305;Secrétaires des services économiques
1104;110401;110401;Inspecteurs en orientation et planification de l'éducation
1104;110402;110402;Conseillers en orientation et planification de l'éducation
1104;110403;110403;Cadre des adjoints en orientation et planification
1105;110501;110501;Conservateurs des bibliothèques et archives
1105;110502;110502;Conservateurs adjoints des bibliothèques et archives
1105;110503;110503;Documentalistes de l'éducation nationale
1106;110601;110601;Surveillants d'externat et d'internat
1107;110701;110701;Préparateurs des laboratoires scolaires et universitaires
1108;110801;110801;Inspecteur pédagogique de l'enseignement primaire grade principal
1108;110802;110802;Inspecteur pédagogique de l'enseignement secondaire
1109;110901;110901;Cadre des professeurs de l'enseignement primaire
1109;110902;110902;Cadre des professeurs de l'enseignement secondaire collégial
1109;110903;110903;Cadre des professeurs de l'enseignement secondaire qualifié
1109;110904;110904;Cadre des professeurs agrégés de l'enseignement secondaire qualifié
1110;111001;111001;Cadre des intendants
1110;111002;111002;Cadre des inspecteurs des services matériels et financiers
1111;111101;111101;Conseillers en orientation de l'education
1111;111102;111102;Inspecteurs en orientation de l'éducation
1111;111103;111103;Conseillers en planification de l'éducation
1111;111104;111104;Inspecteurs en planification de l'éducation
1112;111201;111201;Attachés pédagogiques
1112;111202;111202;Attachés d'economie et administration
1112;111203;111203;Attachés sociaux
1201;120101;120101;Médecins
1201;120102;120102;Pharmaciens
1201;120103;120103;Chirurgiens dentistes
1202;120202;120202;Administrateurs divisionnaires
1202;120203;120203;Administrateurs économes
1202;120204;120204;Psychologues
1202;120205;120205;Adjoints de santé diplômés d'Etat spécialistes
1202;120206;120206;Economes
1202;120207;120207;Adjoints de santé diplômés d'Etat
1202;120208;120208;Adjoints de santé brevetés
1202;120209;120209;Sous économes
1202;120210;120210;Aides sanitaires
1203;120301;120301;Etudiants des hôpitaux
1204;120401;120401;Infirmière religieuse
1205;120501;120501;Médecins, pharmaciens, chirurgiens, ingénieurs conseil chargés de service
1206;120601;120601;Infirmiers auxiliaires
1206;120602;120602;Infirmiers diplômés d'Etat
1206;120603;120603;Assistants médicaux
1207;120701;120701;Cadre des médecins, chirurgiens, biologistes, pharmaciens et chirurgiens dentistes des hôpitaux
1300;130000;130000;Regroupement de grades
1301;130101;130101;Inspecteurs des Finances
1302;130201;130201;Inspecteurs divisionnaires
1302;130202;130202;Inspecteurs
1302;130203;130203;Inspecteurs adjoints
1302;130204;130204;Agents techniques
1302;130205;130205;Brigadiers et Patrons
1302;130206;130206;Préposés et Matelots
1303;130301;130301;Inspecteurs des Finances
1400;140001;140001;Inspecteurs divisionnaires du Tourisme
1400;140002;140002;Inspecteurs du Tourisme
1400;140003;140003;Contrôleurs d'hôtellerie
1400;140004;140004;Agents d'acceuil
1500;150001;150001;Administrateurs des Affaires Maritimes
1500;150002;150002;Inspecteur de la marine marchande et des pêches maritimes
1500;150003;150003;Inspecteurs adjoints de la Marine Marchande et des Pêches Maritimes
1500;150004;150004;Contrôleurs de la Marine Marchande et des Pêches Maritimes
1500;150005;150005;Surveillants maritimes
1500;150006;150006;Gardes maritimes
1600;160001;160001;Chefs d'ateliers
1600;160002;160002;Agents de maîtrise
1600;160003;160003;Agents spécialisés
1600;160004;160004;Aides imprimeurs
1600;160005;160005;Agents de manutention
1601;160101;160101;Conseillers Juridiques
1700;170001;170001;Commandants de port
1700;170002;170002;Capitaine de port
1700;170003;170003;Lieutenants de port
1700;170004;170004;Agents techniques
1700;170005;170005;Adjudants maritimes
1700;170006;170006;Conducteurs de chantiers
1700;170007;170007;Gardiens maritimes
1700;170008;170008;Chefs de bureau
1700;170009;170009;Contrôleurs maritimes
1800;180001;180001;Contrôleurs de la circulation aérienne
1800;180002;180002;Contrôleurs des transports et de la circulation routière
1800;180003;180003;Agents techniques
1800;180004;180004;Conducteurs de chantiers
1900;190001;190001;Chefs de centres techniques
1900;190002;190002;Receveurs
1900;190003;190003;Ingénieurs des télécommunications
1900;190004;190004;Inspecteurs des télécommunications
1900;190005;190005;Administrateurs des postes et télécommunications
1900;190006;190006;Inspecteurs
1900;190007;190007;Contrôleurs
1900;190008;190008;Agents d'exploitation
1900;190009;190009;Agents d'exécution des postes et télécommunications
1900;190010;190010;Contrôleurs des télécommunications
1900;190011;190011;Agents techniques
1900;190012;190012;Chefs d'équipes et chefs de secteurs
1900;190013;190013;Agents des lignes
1900;190014;190014;Agents de surveillance et des vérifications
1900;190015;190015;Facteurs
1900;190016;190016;Contremaîtres
1900;190017;190017;Maîtres ouvriers
1900;190018;190018;Ouvriers
1900;190019;190019;Agents de manutention
2000;200001;200001;Conservateurs de la propriété foncière et des hypothèques
2000;200002;200002;Contrôleurs de la propriété foncière
2000;200003;200003;Contrôleurs adjoints de la propriété foncière
2000;200004;200004;Préparateurs de laboratoire
2000;200005;200005;Agents techniques
2000;200006;200006;Infirmiers vétérinaires
2000;200007;200007;Cavaliers des Eaux et Forêts
2000;200008;200008;Préposés des Eaux et Forêts
2000;200009;200009;Assistants scientifiques des Eaux et Forêts
2000;200010;200010;Infirmiers vetérinaires spécialisés
2001;200100;200100;Emploi supérieur de vétérinaire inspecteur général
2001;200101;200101;Regroupement de grades des vétérinaires inspecteurs
2100;210001;210001;Inspecteurs divisionnaires
2100;210002;210002;Inspecteurs
2100;210003;210003;Educateurs
2100;210004;210004;Instructeurs
2100;210005;210005;Agents à contrat
2300;230000;230000;Cadre des Délegués Régionaux des Affaires Islamiques
2600;260001;260001;Inspecteurs divisionnaires de l'Artisanat
2600;260002;260002;Inspecteurs de l'Artisanat
2600;260003;260003;Inspecteurs adjoints de l'Artisanat
2600;260004;260004;Animateurs des affaires sociales
2600;260005;260005;Contrôleurs de l'Artisanat
2600;260006;260006;Agents technique
2600;260007;260007;Personnel hors statut
2700;270001;270001;Inspecteurs divisionnaires
2700;270002;270002;Inspecteurs
2700;270003;270003;Inspecteurs Adjoints
2700;270004;270004;Cartographes
2700;270005;270005;Préparateurs de laboratoire
2700;270006;270006;Agents techniques
2800;280001;280001;Inspecteurs divisionnaires du Commerce
2800;280002;280002;Inspecteurs du Commerce
2800;280003;280003;Inspecteurs Adjoints du commerce
2800;280004;280004;Agents techniques
2901;290101;290101;Maîtres de recherche en chef
2901;290102;290102;Maîtres de recherche
2901;290103;290103;Chargés de recherche
2901;290104;290104;Attachés de recherche
2902;290201;290201;Conservateurs de Monuments et Sites
2902;290202;290202;Inspecteurs des monuments historiques
2903;290301;290301;Inspecteurs de l'enseignement Artistique
2903;290302;290302;Professeurs de l'enseignement Artistique
2903;290303;290303;Professeurs adjoints de l'enseignement Artistique
2903;290304;290304;Animateurs
2903;290305;290305;Maîtres de l'enseignement artistique
2904;290401;290401;Assistants de Musées
2904;290402;290402;Consevateurs de Musées
2905;290501;290501;Assistants de bibliothèques et archives
2906;290601;290601;Gardiennages des monuments historiques, des sites, des musées, et des bibliotheques
3100;310001;310001;Inspecteurs divisionnaires du travail et de la prévoyance sociale et inspecteurs divisionnaires des lois sociales en agriculture
3100;310002;310002;Inspecteur du travail et de la prévoyance sociale et inspecteurs des lois sociales en agriculture
3100;310003;310003;Inspecteurs adjoints du travail et de la prévoyance sociale et inspecteurs adjoints des lois sociales en agriculture
3100;310004;310004;Contrôleurs du travail et de la prévoyance sociale et contrôleurs des lois sociales en agriculture
3100;310005;310005;Inspecteurs du travail
3100;310006;310006;Inspecteurs adjoints du travail
3400;340001;340001;Officiers généraux
3400;340002;340002;Officiers supérieurs
3400;340003;340003;Officiers subalternes
3400;340004;340004;Sous-officiers
3400;340005;340005;Caporaux chef
3400;340006;340006;Personnel à solde spéciale progressive
3400;340007;340007;Appeles, rappeles et reservistes
3401;340101;340101;Officiers généraux
3401;340102;340102;Officiers supérieurs
3401;340103;340103;Officiers subalternes
3500;350000;350000;Regroupement de grades
3900;390000;390000;Regroupement des Grades
4200;420000;420000;Regroupement de Grades
4500;450000;450000;Regroupement de grades
5101;510101;510101;Commandant de Prison
5101;510102;510102;Surveillant de Prison
5101;510103;510103;Surveillant Educateur
9600;960000;960000;Chargés d'études
9700;970000;970000;Regroupement de fonctions supérieures
9800;980001;980001;Administrateurs
9800;980002;980002;Administrateur adjoint
9800;980003;980003;Rédacteurs
9800;980004;980004;Secrétaires
9800;980005;980005;Agents d'exécution
9800;980006;980006;Agents de service
9801;980101;980101;Agents publics
9802;980201;980201;Chefs d'ateliers
9802;980202;980202;Agents de maîtrise
9802;980203;980203;Agents spécialisés
9802;980204;980204;Aides imprimeurs
9802;980205;980205;Agents de manutention
9901;990101;990101;Emploi supérieur d'ingénieur Général
9901;990102;990102;Ingénieur en chef
9901;990103;990103;Ingénieurs d'Etat
9901;990104;990104;Ingénieurs d'application
9901;990105;990105;Emploi supérieur d'architecte général
9901;990106;990106;Architecte en chef
9901;990107;990107;Architectes
9902;990201;990201;Analystes concepteurs
9902;990202;990202;Analystes
9902;990203;990203;Programmeurs
9902;990204;990204;Moniteur
9902;990205;990205;Opérateurs
9903;990301;990301;Informatistes
9904;990400;990400;Regroupement des grades de techniciens
9905;990501;990501;Professeurs de l'enseignement supérieur
9905;990502;990502;Maîtres de conférence
9905;990503;990503;Maîtres assistants
9905;990504;990504;Assistant
9906;990601;990601;Membres de cabinet
9906;990602;990602;Personnel de bureau
9906;990603;990603;Personnel de maison
9907;990701;990701;Civilistes
9907;990702;990702;Agents à contrat
9908;990801;990801;Agents permanents
9909;990901;990901;Cadre des inspecteurs de la formation professionnelle
9909;990902;990902;Cadre des conseillers en orientation et en planification professionnelle
9909;990903;990903;Cadre des professeurs
9909;990904;990904;Cadre des chefs de travaux
9910;991001;991001;Professeurs de l'Enseignement Supérieur
9910;991002;991002;Professeurs Habilités
9910;991003;991003;Professeurs Assistants
9911;991100;991100;Emplois supérieurs de médecin général, pharmacien général, chirurgien dentiste général
9911;991101;991101;Medecins
9911;991102;991102;Pharmaciens
9911;991103;991103;Chirurgiens dentistes
9912;991200;991200;Emploi supérieur de médecin vétérinaire général
9912;991201;991201;Medecins veterinaires
9913;991301;991301;Emploi supérieur d’administrateur général
9913;991302;991302;Administrateurs
9914;991401;991401;Rédacteurs
9915;991501;991501;Adjoints techniques
9916;991601;991601;Adjoints administratifs
9917;991701;991701;Emploi supérieur d'ingénieur Général
9917;991702;991702;Ingénieur en chef
9917;991703;991703;Ingénieurs d'Etat
9917;991704;991704;Emploi supérieur d'architecte général
9917;991705;991705;Architecte en chef
9917;991706;991706;Architectes
