category_id/id;id;code;name
03;0300;0300;Membres de la Chambre des Représentants
03;0301;0301;Personnel de la Chambre des Représentants
03;0302;0302;Membres de la chambre des conseillers
04;0400;0400;Membres de gouvernement
04;0401;0401;Regroupement des cadres du premier Ministère
05;0500;0500;Regroupement des cadres de la cour des comptes
06;0601;0601;Personnel des juridictions du Royaume
06;0602;0602;Magistrats
06;0603;0603;Regroupement de cadres de l'Administration pénitentiaire
06;0604;0604;Personnel du Greffe
07;0700;0700;Regroupemnt des agents diplomatiques et consulaires
08;0800;0800;Regroupement des cadres des conducteurs et des déssinateurs
08;0801;0801;Administrateurs du Ministère de l'Intérieur
08;0802;0802;Sapeurs pompiers
08;0803;0803;Contrôleurs des prix
08;0804;0804;Mohtassebs
08;0805;0805;Personnel de Transmission du Ministère de l'Intérieur
08;0806;0806;Personnel d'encadrement des forces auxiliaires
08;0807;0807;Personnel de rang des forces auxiliaires
08;0808;0808;Personnel des services de la sureté nationale
08;0809;0809;Khalifas
08;0810;0810;Corps de l'inspection générale de l'Administration territoriale
08;0811;0811;Corps National de la Protection Civile
08;0812;0812;Corps des directeurs de centres régionaux d'investissements
08;0813;0813;Personnel des services de la Sureté Nationale
08;0814;0814;Agents d'autorité
08;0815;0815;CORPS DU PERSONNEL DE LA SURETE NATIONALE (N.S)
09;0900;0900;Corps des journalistes
09;0901;0901;Regroupement de cadres des opérateurs
09;0902;0902;Regroupement de cadres de la RTM
09;0903;0903;CORPS DES JOURNALISTES
09;0904;0904;Corps des journalistes
09;0905;0905;Corps artistique
09;0906;0906;Corps technico-artistique
10;1000;1000;Regroupement de cadres des enseignants chercheurs de l'enseignement supérieur
10;1001;1001;Enseignants chercheurs de médecine, de pharmacie et de médecine dentaire
10;1002;1002;Enseignants-Chercheurs de l'Enseignement Supérieur
10;1003;1003;Enseignants chercheurs de medecine, de pharmacie et de medecine dentaire
11;1101;1101;Corps d'encadrement et de contrôle pédagogique
11;1102;1102;Corps du personnel enseignant
11;1103;1103;Corps de gestion des services économiques
11;1104;1104;Corps d'orientation et planification de l'éducation
11;1105;1105;Corps de documentation scolaire et universitaire
11;1106;1106;Corps de surveillance pédagogique
11;1107;1107;Corps des préparateurs des laboratoires scolaires et universitaires
11;1108;1108;Corps Pédagogique
11;1109;1109;Corps enseignant
11;1110;1110;Intendants et Inspecteurs des services matériels et financiers
11;1111;1111;Planification et orientation pédagogique
11;1112;1112;Attachés
12;1201;1201;Médecins, pharmaciens et chirurgiens dentistes
12;1202;1202;Regroupement de cadres du Ministère de la santé publique
12;1203;1203;Etudiants des hôpitaux
12;1204;1204;Infirmières religieuses
12;1205;1205;Medecins, pharmaciens, chirurgiens, ingénieurs conseils chargés de service
12;1206;1206;Corps des infirmiers et des assistants medicaux
12;1207;1207;Corps des médecins, chirurgiens, biologistes, pharmaciens et chirurgiens dentistes des hôpitaux.
13;1300;1300;Regroupement de cadres
13;1301;1301;Corps de l'inspection générale des Finances.
13;1302;1302;Regroupement de cadres
13;1303;1303;Corps de l'inspection générale des Finances
14;1400;1400;Regroupement des cadres du Ministère du Tourisme
15;1500;1500;Regroupement de cadres du ministère des pêches maritimes et de la marine marchande
16;1600;1600;Personnel d'atelier de l'imprimerie officielle
16;1601;1601;Conseillers Juridiques
17;1700;1700;Regroupement de cadres
18;1800;1800;Regroupement de cadres particuliers du ministère des transports
19;1900;1900;Regroupement des cadres particuliers du Ministère des postes et télécommunications
20;2000;2000;Regroupement de cadres particuliers du ministère de l'Agriculture et de la réforme agraire
20;2001;2001;Corps des vétérinaires inspecteurs
21;2100;2100;Regroupement de cadres du ministère de la jeunesse et des sports
23;2300;2300;Corps des Délegués Régionaux des Affaires Islamiques
26;2600;2600;Regroupement des cadres du Ministère de l'artisanat et des affaires sociales
27;2700;2700;Regroupement des cadres du Ministère de l'énérgie et des mines
28;2800;2800;Regroupement des cadres du ministère du commerce et de l'industrie
29;2901;2901;Personnel de la recherche Archéologique et Antropologique
29;2902;2902;Personnel des monuments et sites
29;2903;2903;Personnel d'inspection et d'enseignement Artistique
29;2904;2904;Personnel des Musées
29;2905;2905;Personnel de Bibliothèque et Archives
29;2906;2906;Gardiennage des monuments historiques, des sites, des musées, et des bibliotheques
31;3100;3100;Regroupement des cadres du Ministère de l'emploi
34;3400;3400;Regroupement des cadres de l'administration de la défense nationale
34;3401;3401;Médecins, pharmaciens, chirurgiens dentistes et vétérinaires militaires
35;3500;3500;Regroupement de cadres
39;3900;3900;Regroupement des Cadres
42;4200;4200;Regroupement de cadres
45;4500;4500;Regroupement de Cadres
51;5101;5101;Corps de la surveillance et de sécurité
96;9600;9600;Chargé d'études
97;9700;9700;Regroupement de Fonctions supérieures
98;9800;9800;Regroupement des cadres communs aux administrations publiques
98;9801;9801;Agents publics
98;9802;9802;Personnel des ateliers d'impression
99;9901;9901;Ingénieurs et architectes
99;9902;9902;Informaticiens
99;9903;9903;Informatistes
99;9904;9904;Techniciens
99;9905;9905;Regroupement de cadres des enseignants chercheurs de la formation professionnelle et de la formation des cadres
99;9906;9906;Les membres de Cabinets ministériels
99;9907;9907;Civilistes et agents à contrat
99;9908;9908;Agents permanents
99;9909;9909;Regroupement des cadres de formation, d'encadrement, d'orientation, de planification et d'inspection des établissements de formation professionnelle
99;9910;9910;Enseignants Chercheurs des Etablissements de Formation des Cadres Superieurs
99;9911;9911;Medecins, pharmaciens et chirurgiens dentistes
99;9912;9912;Medecins veterinaires
99;9913;9913;Administrateurs 
99;9914;9914;Rédacteurs 
99;9915;9915;Adjoints techniques 
99;9916;9916;Adjoints administratifs 
99;9917;9917;Ingénieurs et architectes 
